,Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour
0,France,lig-1,Rennes,Monaco,1,2,2024/2025,05.01,22:00
1,France,lig-1,Lille,Toulouse,2,1,2024/2025,05.01,20:00
2,France,lig-1,St. Etienne,Auxerre,3,1,2024/2025,05.01,18:00
3,France,lig-1,Marsilya,Angers,1,1,2024/2025,04.01,21:45
4,France,lig-1,Strasbourg,Marsilya,1,0,2024/2025,29.09,21:45
5,France,lig-1,Angers,Reims,1,3,2024/2025,29.09,18:00
6,France,lig-1,Nantes,St. Etienne,2,2,2024/2025,29.09,18:00
7,France,lig-1,Toulouse,Lyon,1,2,2024/2025,29.09,16:00
8,France,lig-1,Monaco,Montpellier,2,1,2024/2025,28.09,22:00
9,France,lig-1,Le Havre,Lille,0,3,2024/2025,28.09,20:00
10,France,lig-1,Lens,Nice,0,0,2024/2025,28.09,18:00
11,France,lig-1,PSG,Rennes,3,1,2024/2025,27.09,22:00
12,France,lig-1,Auxerre,Brest,3,0,2024/2025,27.09,20:00
13,France,lig-1,Lyon,Marsilya,2,3,2024/2025,22.09,21:45
14,France,lig-1,Angers,Nantes,1,1,2024/2025,22.09,18:00
15,France,lig-1,Brest,Toulouse,2,0,2024/2025,22.09,18:00
16,France,lig-1,Montpellier,Auxerre,3,2,2024/2025,22.09,18:00
17,France,lig-1,Monaco,Le Havre,3,1,2024/2025,22.09,16:00
18,France,lig-1,Reims,PSG,1,1,2024/2025,21.09,22:00
19,France,lig-1,Rennes,Lens,1,1,2024/2025,21.09,20:00
20,France,lig-1,Lille,Strasbourg,3,3,2024/2025,21.09,18:00
21,France,lig-1,Nice,St. Etienne,8,0,2024/2025,20.09,21:45
22,France,lig-1,Lens,Lyon,0,0,2024/2025,15.09,21:45
23,France,lig-1,Nantes,Reims,1,2,2024/2025,15.09,18:00
24,France,lig-1,Strasbourg,Angers,1,1,2024/2025,15.09,18:00
25,France,lig-1,Toulouse,Le Havre,2,0,2024/2025,15.09,18:00
26,France,lig-1,Rennes,Montpellier,3,0,2024/2025,15.09,16:00
27,France,lig-1,PSG,Brest,3,1,2024/2025,14.09,22:00
28,France,lig-1,Auxerre,Monaco,0,3,2024/2025,14.09,20:00
29,France,lig-1,Marsilya,Nice,2,0,2024/2025,14.09,18:00
30,France,lig-1,St. Etienne,Lille,1,0,2024/2025,13.09,21:45
31,France,lig-1,Lille,PSG,1,3,2024/2025,01.09,21:45
32,France,lig-1,Angers,Nice,1,4,2024/2025,01.09,18:00
33,France,lig-1,Le Havre,Auxerre,3,1,2024/2025,01.09,18:00
34,France,lig-1,Reims,Rennes,2,1,2024/2025,01.09,18:00
35,France,lig-1,Monaco,Lens,1,1,2024/2025,01.09,16:00
36,France,lig-1,Toulouse,Marsilya,1,3,2024/2025,31.08,22:00
37,France,lig-1,Montpellier,Nantes,1,3,2024/2025,31.08,20:00
38,France,lig-1,Brest,St. Etienne,4,0,2024/2025,31.08,18:00
39,France,lig-1,Lyon,Strasbourg,4,3,2024/2025,30.08,21:45
40,France,lig-1,Marsilya,Reims,2,2,2024/2025,25.08,21:45
41,France,lig-1,Nantes,Auxerre,2,0,2024/2025,25.08,18:00
42,France,lig-1,Nice,Toulouse,1,1,2024/2025,25.08,18:00
